Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
107,1190,1360,2591,1662,straight,21,Male,65kg
108,1178,1374,2602,1676,straight,21,Male,65kg
109,1179,1360,2595,1683,straight,21,Male,65kg
110,1175,1381,2590,1682,straight,21,Male,65kg
111,1175,1377,2587,1655,straight,21,Male,65kg
112,1186,1360,2591,1648,straight,21,Male,65kg
113,1171,1376,2599,1666,straight,21,Male,65kg
114,1170,1370,2587,1665,straight,21,Male,65kg
115,1168,1379,2559,1664,straight,21,Male,65kg
116,1169,1369,2587,1672,straight,21,Male,65kg
117,1171,1378,2589,1678,straight,21,Male,65kg
118,1175,1375,2591,1678,straight,21,Male,65kg
119,1191,1374,2607,1680,straight,21,Male,65kg
120,1173,1392,2583,1677,straight,21,Male,65kg
121,1173,1363,2589,1669,straight,21,Male,65kg
122,1164,1367,2590,1674,straight,21,Male,65kg
123,1171,1371,2590,1670,straight,21,Male,65kg
124,1197,1374,2595,1649,straight,21,Male,65kg
125,1168,1365,2619,1664,straight,21,Male,65kg
126,1177,1373,2607,1658,straight,21,Male,65kg
127,1179,1345,2593,1662,straight,21,Male,65kg
128,1172,1371,2595,1680,straight,21,Male,65kg
129,1178,1363,2606,1667,straight,21,Male,65kg
130,1183,1362,2587,1666,straight,21,Male,65kg
131,1154,1371,2584,1637,straight,21,Male,65kg
132,1184,1373,2595,1633,straight,21,Male,65kg
133,1179,1371,2599,1657,straight,21,Male,65kg
134,1174,1379,2591,1649,straight,21,Male,65kg
135,1177,1375,2595,1652,straight,21,Male,65kg
136,1187,1381,2592,1646,straight,21,Male,65kg
137,1183,1393,2589,1648,straight,21,Male,65kg
138,1171,1384,2595,1659,straight,21,Male,65kg
139,1182,1387,2586,1660,straight,21,Male,65kg
140,1190,1385,2587,1658,straight,21,Male,65kg
141,1215,1377,2585,1606,straight,21,Male,65kg
142,1181,1386,2594,1634,straight,21,Male,65kg
143,1189,1377,2586,1647,straight,21,Male,65kg
144,1185,1389,2599,1644,straight,21,Male,65kg
145,1177,1373,2598,1646,straight,21,Male,65kg
146,1187,1367,2608,1646,straight,21,Male,65kg
147,1179,1398,2598,1649,straight,21,Male,65kg
148,1169,1376,2603,1653,straight,21,Male,65kg
149,1191,1379,2624,1661,straight,21,Male,65kg
150,1189,1375,2601,1653,straight,21,Male,65kg
151,1179,1377,2608,1648,straight,21,Male,65kg
152,1194,1377,2598,1648,straight,21,Male,65kg
153,1184,1370,2595,1643,straight,21,Male,65kg
154,1172,1403,2606,1648,straight,21,Male,65kg
155,1187,1374,2607,1659,straight,21,Male,65kg
156,1183,1375,2608,1650,straight,21,Male,65kg
157,1193,1382,2608,1650,straight,21,Male,65kg
158,1154,1361,2605,1622,straight,21,Male,65kg
159,1182,1355,2599,1655,straight,21,Male,65kg
160,1183,1395,2606,1655,straight,21,Male,65kg
161,1166,1362,2603,1647,straight,21,Male,65kg
162,1175,1360,2593,1639,straight,21,Male,65kg
163,1174,1359,2602,1665,straight,21,Male,65kg
164,1174,1360,2599,1655,straight,21,Male,65kg
165,1179,1359,2610,1628,straight,21,Male,65kg
