,fsr1,fsr2,fsr3,fsr4,posture,age,gender,weight
512,1901,874,1270,1585,hunched,21,Male,65kg
513,1969,1127,1363,1666,hunched,21,Male,65kg
514,1917,1101,1230,1573,hunched,21,Male,65kg
515,1967,1040,1670,1818,hunched,21,Male,65kg
516,2014,1110,1683,1848,hunched,21,Male,65kg
517,1926,880,1298,1612,hunched,21,Male,65kg
518,1931,897,1343,1637,hunched,21,Male,65kg
519,1922,943,1367,1644,hunched,21,Male,65kg
520,1949,947,1390,1669,hunched,21,Male,65kg
521,1965,944,1392,1678,hunched,21,Male,65kg
522,1979,960,1409,1694,hunched,21,Male,65kg
523,1968,955,1425,1696,hunched,21,Male,65kg
524,1975,962,1422,1698,hunched,21,Male,65kg
525,1947,945,1457,1702,hunched,21,Male,65kg
526,1969,957,1455,1712,hunched,21,Male,65kg
527,1966,953,1455,1710,hunched,21,Male,65kg
528,1969,979,1374,1671,hunched,21,Male,65kg
529,2003,887,1289,1646,hunched,21,Male,65kg
530,1970,706,1183,1576,hunched,21,Male,65kg
531,1959,749,1194,1576,hunched,21,Male,65kg
532,1954,755,1186,1570,hunched,21,Male,65kg
533,1958,773,1229,1593,hunched,21,Male,65kg
534,1904,907,1457,1680,hunched,21,Male,65kg
535,1873,822,1429,1651,hunched,21,Male,65kg
536,1888,859,1472,1680,hunched,21,Male,65kg
537,1906,887,1477,1691,hunched,21,Male,65kg
538,1840,895,1648,1744,hunched,21,Male,65kg
539,1851,982,1535,1693,hunched,21,Male,65kg
540,1887,725,1325,1606,hunched,21,Male,65kg
541,1882,927,1477,1679,hunched,21,Male,65kg
542,1857,923,1500,1678,hunched,21,Male,65kg
543,1854,1001,1568,1711,hunched,21,Male,65kg
544,1866,1042,1655,1760,hunched,21,Male,65kg
545,1871,999,1598,1734,hunched,21,Male,65kg
546,1904,819,1435,1669,hunched,21,Male,65kg
547,1911,881,1472,1691,hunched,21,Male,65kg
548,1887,875,1478,1682,hunched,21,Male,65kg
549,1901,880,1488,1694,hunched,21,Male,65kg
550,1891,863,1481,1686,hunched,21,Male,65kg
551,1899,868,1473,1686,hunched,21,Male,65kg
552,1895,883,1491,1693,hunched,21,Male,65kg
553,1921,723,1444,1682,hunched,21,Male,65kg
554,1905,725,1369,1637,hunched,21,Male,65kg
555,1883,725,1343,1613,hunched,21,Male,65kg
556,1661,677,1535,1598,hunched,21,Male,65kg
557,1709,659,1535,1622,hunched,21,Male,65kg
558,1773,659,1582,1677,hunched,21,Male,65kg
559,1818,713,1666,1742,hunched,21,Male,65kg
560,1812,626,1519,1665,hunched,21,Male,65kg
561,1781,638,1136,1458,hunched,21,Male,65kg
562,1809,642,1090,1449,hunched,21,Male,65kg
563,1875,663,1299,1587,hunched,21,Male,65kg
564,1930,777,1361,1645,hunched,21,Male,65kg
565,1919,852,1456,1687,hunched,21,Male,65kg
566,1782,621,1595,1688,hunched,21,Male,65kg
567,1807,656,1605,1706,hunched,21,Male,65kg
568,1826,686,1598,1712,hunched,21,Male,65kg
569,1854,704,1438,1646,hunched,21,Male,65kg
570,1845,625,1579,1712,hunched,21,Male,65kg
571,2042,1041,1647,1844,hunched,21,Male,65kg
572,1886,1131,1575,1730,hunched,21,Male,65kg
573,1931,1191,1727,1829,hunched,21,Male,65kg
574,1776,986,1535,1655,hunched,21,Male,65kg
575,1662,945,1477,1569,hunched,21,Male,65kg
576,1694,954,1495,1594,hunched,21,Male,65kg
577,1734,925,1522,1628,hunched,21,Male,65kg
578,1694,830,1516,1605,hunched,21,Male,65kg
579,1978,780,849,1413,hunched,21,Male,65kg
580,1954,1068,1102,1528,hunched,21,Male,65kg
581,1888,859,1294,1591,hunched,21,Male,65kg
582,1887,896,1341,1614,hunched,21,Male,65kg
583,1885,869,1360,1622,hunched,21,Male,65kg
584,1902,917,1351,1626,hunched,21,Male,65kg
585,2160,1456,1506,1833,hunched,21,Male,65kg
586,1799,1085,1958,1878,hunched,21,Male,65kg
587,1810,933,1890,1850,hunched,21,Male,65kg
588,1579,495,1735,1657,hunched,21,Male,65kg
589,1609,445,1650,1629,hunched,21,Male,65kg
590,1664,432,1634,1649,hunched,21,Male,65kg
591,1683,441,1648,1665,hunched,21,Male,65kg
592,1710,457,1655,1682,hunched,21,Male,65kg
593,1712,460,1682,1697,hunched,21,Male,65kg
594,1729,506,1637,1683,hunched,21,Male,65kg
595,1725,528,1584,1654,hunched,21,Male,65kg
596,1744,533,1645,1694,hunched,21,Male,65kg
597,1766,533,1632,1699,hunched,21,Male,65kg
598,1813,577,1600,1706,hunched,21,Male,65kg
599,1809,566,1617,1713,hunched,21,Male,65kg
600,1838,592,1615,1726,hunched,21,Male,65kg
601,1840,592,1650,1745,crossed_legs_left,21,Male,65kg
602,1853,631,1673,1763,crossed_legs_left,21,Male,65kg
603,1813,614,1635,1724,crossed_legs_left,21,Male,65kg
604,1751,626,1695,1723,crossed_legs_left,21,Male,65kg
605,1789,723,1994,1891,crossed_legs_left,21,Male,65kg
606,0,2019,1775,887,crossed_legs_left,21,Male,65kg
607,0,1766,1301,650,crossed_legs_left,21,Male,65kg
608,0,950,1051,525,crossed_legs_left,21,Male,65kg
609,0,983,1155,577,crossed_legs_left,21,Male,65kg
610,0,997,1357,678,crossed_legs_left,21,Male,65kg
611,0,942,1360,680,crossed_legs_left,21,Male,65kg
612,0,881,879,439,crossed_legs_left,21,Male,65kg
613,0,950,849,424,crossed_legs_left,21,Male,65kg
614,0,959,913,456,crossed_legs_left,21,Male,65kg
615,0,999,930,465,crossed_legs_left,21,Male,65kg
616,0,991,1005,502,crossed_legs_left,21,Male,65kg
617,0,1454,1402,701,crossed_legs_left,21,Male,65kg
618,0,1745,1596,798,crossed_legs_left,21,Male,65kg
619,0,1588,1643,821,crossed_legs_left,21,Male,65kg
620,0,1595,1584,792,crossed_legs_left,21,Male,65kg
621,0,1535,1616,808,crossed_legs_left,21,Male,65kg
622,0,1469,1575,787,crossed_legs_left,21,Male,65kg
623,0,1091,1511,755,crossed_legs_left,21,Male,65kg
624,0,1067,1572,786,crossed_legs_left,21,Male,65kg
625,0,1103,1573,786,crossed_legs_left,21,Male,65kg
626,0,1062,1584,792,crossed_legs_left,21,Male,65kg
627,0,1003,1584,792,crossed_legs_left,21,Male,65kg
628,0,981,1589,794,crossed_legs_left,21,Male,65kg
629,0,961,1606,803,crossed_legs_left,21,Male,65kg
630,0,985,1458,729,crossed_legs_left,21,Male,65kg
631,0,1342,1627,813,crossed_legs_left,21,Male,65kg
632,0,995,1648,824,crossed_legs_left,21,Male,65kg
633,0,903,1666,833,crossed_legs_left,21,Male,65kg
634,0,962,1490,745,crossed_legs_left,21,Male,65kg
635,0,784,1091,545,crossed_legs_left,21,Male,65kg
636,0,805,1120,560,crossed_legs_left,21,Male,65kg
637,0,779,1339,669,crossed_legs_left,21,Male,65kg
638,0,815,1394,697,crossed_legs_left,21,Male,65kg
639,0,885,1134,567,crossed_legs_left,21,Male,65kg
640,0,958,1422,711,crossed_legs_left,21,Male,65kg
641,0,983,1382,691,crossed_legs_left,21,Male,65kg
642,0,1003,1190,595,crossed_legs_left,21,Male,65kg
643,0,1015,1200,600,crossed_legs_left,21,Male,65kg
644,0,1040,1212,606,crossed_legs_left,21,Male,65kg
645,0,1013,1146,573,crossed_legs_left,21,Male,65kg
646,0,1008,1183,591,crossed_legs_left,21,Male,65kg
647,0,1053,1414,707,crossed_legs_left,21,Male,65kg
648,0,1034,1098,549,crossed_legs_left,21,Male,65kg
649,0,912,758,379,crossed_legs_left,21,Male,65kg
650,0,755,685,342,crossed_legs_left,21,Male,65kg
651,0,754,758,379,crossed_legs_left,21,Male,65kg
652,0,1102,704,352,crossed_legs_left,21,Male,65kg
653,0,1086,747,373,crossed_legs_left,21,Male,65kg
654,0,1188,783,391,crossed_legs_left,21,Male,65kg
655,0,1168,402,201,crossed_legs_left,21,Male,65kg
656,0,1234,478,239,crossed_legs_left,21,Male,65kg
657,0,1181,363,181,crossed_legs_left,21,Male,65kg
658,0,1197,370,185,crossed_legs_left,21,Male,65kg
659,0,1163,337,168,crossed_legs_left,21,Male,65kg
660,0,1097,363,181,crossed_legs_left,21,Male,65kg
661,0,986,398,199,crossed_legs_left,21,Male,65kg
662,0,972,377,188,crossed_legs_left,21,Male,65kg
663,0,962,371,185,crossed_legs_left,21,Male,65kg
664,0,944,341,170,crossed_legs_left,21,Male,65kg
665,0,945,322,161,crossed_legs_left,21,Male,65kg
666,0,949,323,161,crossed_legs_left,21,Male,65kg
667,0,938,341,170,crossed_legs_left,21,Male,65kg
668,0,928,342,171,crossed_legs_left,21,Male,65kg
669,0,943,448,224,crossed_legs_left,21,Male,65kg
670,0,959,461,230,crossed_legs_left,21,Male,65kg
671,0,1038,637,318,crossed_legs_left,21,Male,65kg
672,0,1040,580,290,crossed_legs_left,21,Male,65kg
673,0,1039,583,291,crossed_legs_left,21,Male,65kg
674,0,1063,595,297,crossed_legs_left,21,Male,65kg
675,0,1023,599,299,crossed_legs_left,21,Male,65kg
676,0,1022,592,296,crossed_legs_left,21,Male,65kg
677,0,1055,652,326,crossed_legs_left,21,Male,65kg
678,0,1043,656,328,crossed_legs_left,21,Male,65kg
679,0,1045,650,325,crossed_legs_left,21,Male,65kg
680,0,1104,728,364,crossed_legs_left,21,Male,65kg
681,0,1040,674,337,crossed_legs_left,21,Male,65kg
682,0,1039,654,327,crossed_legs_left,21,Male,65kg
683,0,1008,678,339,crossed_legs_left,21,Male,65kg
684,0,1011,656,328,crossed_legs_left,21,Male,65kg
685,0,1056,749,374,crossed_legs_left,21,Male,65kg
686,0,1040,639,319,crossed_legs_left,21,Male,65kg
687,0,929,722,361,crossed_legs_left,21,Male,65kg
688,0,973,727,363,crossed_legs_left,21,Male,65kg
689,0,976,733,366,crossed_legs_left,21,Male,65kg
690,0,934,671,335,crossed_legs_left,21,Male,65kg
691,0,960,695,347,crossed_legs_left,21,Male,65kg
692,0,964,685,342,crossed_legs_left,21,Male,65kg
693,0,955,670,335,crossed_legs_left,21,Male,65kg
694,0,926,812,406,crossed_legs_left,21,Male,65kg
695,0,950,604,302,crossed_legs_left,21,Male,65kg
696,0,980,642,321,crossed_legs_left,21,Male,65kg
697,0,976,625,312,crossed_legs_left,21,Male,65kg
698,0,974,619,309,crossed_legs_left,21,Male,65kg
699,0,976,614,307,crossed_legs_left,21,Male,65kg
700,0,976,596,298,crossed_legs_left,21,Male,65kg
701,0,996,628,314,crossed_legs_right,21,Male,65kg
702,0,1019,703,351,crossed_legs_right,21,Male,65kg
703,0,1001,676,338,crossed_legs_right,21,Male,65kg
704,0,1062,927,463,crossed_legs_right,21,Male,65kg
705,1860,1034,1469,1664,crossed_legs_right,21,Male,65kg
706,1858,0,0,929,crossed_legs_right,21,Male,65kg
707,1565,0,941,1253,crossed_legs_right,21,Male,65kg
708,1621,0,1488,1554,crossed_legs_right,21,Male,65kg
709,1659,0,1575,1617,crossed_legs_right,21,Male,65kg
710,1654,0,1535,1594,crossed_legs_right,21,Male,65kg
711,1626,0,1458,1542,crossed_legs_right,21,Male,65kg
712,1580,0,1526,1553,crossed_legs_right,21,Male,65kg
713,1630,0,1535,1582,crossed_legs_right,21,Male,65kg
714,1519,0,1495,1507,crossed_legs_right,21,Male,65kg
715,1535,0,1514,1524,crossed_legs_right,21,Male,65kg
716,1511,0,1494,1502,crossed_legs_right,21,Male,65kg
717,1519,0,1535,1527,crossed_legs_right,21,Male,65kg
718,1530,0,1406,1468,crossed_legs_right,21,Male,65kg
719,1574,0,1382,1478,crossed_legs_right,21,Male,65kg
720,1488,0,1483,1485,crossed_legs_right,21,Male,65kg
721,1507,0,1478,1492,crossed_legs_right,21,Male,65kg
722,1505,0,1521,1513,crossed_legs_right,21,Male,65kg
723,1478,0,1516,1497,crossed_legs_right,21,Male,65kg
724,1432,0,1534,1483,crossed_legs_right,21,Male,65kg
725,1441,0,1511,1476,crossed_legs_right,21,Male,65kg
726,1409,0,1517,1463,crossed_legs_right,21,Male,65kg
727,1451,0,1525,1488,crossed_legs_right,21,Male,65kg
728,1453,0,1459,1456,crossed_legs_right,21,Male,65kg
729,1463,0,1600,1531,crossed_legs_right,21,Male,65kg
730,1490,0,1617,1553,crossed_legs_right,21,Male,65kg
731,1512,0,1618,1565,crossed_legs_right,21,Male,65kg
732,1500,0,1619,1559,crossed_legs_right,21,Male,65kg
733,1503,0,1619,1561,crossed_legs_right,21,Male,65kg
734,1353,0,1738,1545,crossed_legs_right,21,Male,65kg
735,1071,0,2174,1622,crossed_legs_right,21,Male,65kg
736,1264,0,2265,1764,crossed_legs_right,21,Male,65kg
737,1323,0,2192,1757,crossed_legs_right,21,Male,65kg
738,1339,0,2282,1810,crossed_legs_right,21,Male,65kg
739,1427,0,2259,1843,crossed_legs_right,21,Male,65kg
740,1499,0,2003,1751,crossed_legs_right,21,Male,65kg
741,1526,0,2099,1812,crossed_legs_right,21,Male,65kg
742,1509,0,2096,1802,crossed_legs_right,21,Male,65kg
743,1531,0,2246,1888,crossed_legs_right,21,Male,65kg
744,1327,0,2246,1786,crossed_legs_right,21,Male,65kg
745,1353,0,2271,1812,crossed_legs_right,21,Male,65kg
746,1434,0,2277,1855,crossed_legs_right,21,Male,65kg
747,1427,0,2302,1864,crossed_legs_right,21,Male,65kg
748,1438,0,2293,1865,crossed_legs_right,21,Male,65kg
749,1443,0,2272,1857,crossed_legs_right,21,Male,65kg
750,1421,0,2228,1824,crossed_legs_right,21,Male,65kg
751,1431,0,2201,1816,crossed_legs_right,21,Male,65kg
752,1398,0,2352,1875,crossed_legs_right,21,Male,65kg
753,1520,0,2807,2163,crossed_legs_right,21,Male,65kg
754,1503,0,2767,2135,crossed_legs_right,21,Male,65kg
755,1519,0,2773,2146,crossed_legs_right,21,Male,65kg
756,1529,0,2758,2143,crossed_legs_right,21,Male,65kg
757,1519,0,2766,2142,crossed_legs_right,21,Male,65kg
758,1535,0,2509,2022,crossed_legs_right,21,Male,65kg
759,1535,0,2778,2156,crossed_legs_right,21,Male,65kg
760,1581,0,2717,2149,crossed_legs_right,21,Male,65kg
761,1563,0,2727,2145,crossed_legs_right,21,Male,65kg
762,1535,0,2696,2115,crossed_legs_right,21,Male,65kg
763,1602,0,2595,2098,crossed_legs_right,21,Male,65kg
764,1593,0,2581,2087,crossed_legs_right,21,Male,65kg
765,1600,0,2558,2079,crossed_legs_right,21,Male,65kg
766,1581,0,2869,2225,crossed_legs_right,21,Male,65kg
767,1631,0,2464,2047,crossed_legs_right,21,Male,65kg
768,1648,0,2402,2025,crossed_legs_right,21,Male,65kg
769,1648,0,2502,2075,crossed_legs_right,21,Male,65kg
770,1590,0,2729,2159,crossed_legs_right,21,Male,65kg
771,1631,0,2613,2122,crossed_legs_right,21,Male,65kg
772,1659,0,2438,2048,crossed_legs_right,21,Male,65kg
773,1667,0,2418,2042,crossed_legs_right,21,Male,65kg
774,1642,0,2369,2005,crossed_legs_right,21,Male,65kg
775,1649,0,2355,2002,crossed_legs_right,21,Male,65kg
776,1637,0,2497,2067,crossed_legs_right,21,Male,65kg
777,1634,0,2229,1931,crossed_legs_right,21,Male,65kg
778,1653,0,1910,1781,crossed_legs_right,21,Male,65kg
779,1647,0,1904,1775,crossed_legs_right,21,Male,65kg
780,1648,0,1860,1754,crossed_legs_right,21,Male,65kg
781,1659,0,1865,1762,crossed_legs_right,21,Male,65kg
782,1661,0,1867,1764,crossed_legs_right,21,Male,65kg
783,1666,0,1872,1769,crossed_legs_right,21,Male,65kg
784,1671,0,1867,1769,crossed_legs_right,21,Male,65kg
785,1648,0,1871,1759,crossed_legs_right,21,Male,65kg
786,1647,0,1860,1753,crossed_legs_right,21,Male,65kg
787,1648,0,1953,1800,crossed_legs_right,21,Male,65kg
788,1648,0,2061,1854,crossed_legs_right,21,Male,65kg
789,1658,0,2287,1972,crossed_legs_right,21,Male,65kg
790,1664,0,2205,1934,crossed_legs_right,21,Male,65kg
791,1657,0,2055,1856,crossed_legs_right,21,Male,65kg
792,1659,0,2066,1862,crossed_legs_right,21,Male,65kg
793,1646,0,2047,1846,crossed_legs_right,21,Male,65kg
794,1654,0,2053,1853,crossed_legs_right,21,Male,65kg
795,1667,0,2000,1833,crossed_legs_right,21,Male,65kg
796,1648,0,2305,1976,crossed_legs_right,21,Male,65kg
797,1641,0,2068,1854,crossed_legs_right,21,Male,65kg
798,1467,0,1713,1590,crossed_legs_right,21,Male,65kg
799,1232,0,1879,1555,crossed_legs_right,21,Male,65kg
800,1213,0,1701,1457,crossed_legs_right,21,Male,65kg
