,fsr1,fsr2,fsr3,fsr4,posture,age,gender,weight
110,2462,1755,1300,1881,lean_forward,21,Male,65kg
111,2402,752,1335,1868,lean_forward,21,Male,65kg
112,2412,878,1354,1883,lean_forward,21,Male,65kg
113,2421,1021,1375,1898,lean_forward,21,Male,65kg
114,2422,1006,1381,1901,lean_forward,21,Male,65kg
115,2439,1062,1408,1923,lean_forward,21,Male,65kg
116,2426,1023,1405,1915,lean_forward,21,Male,65kg
117,2581,1823,1431,2006,lean_forward,21,Male,65kg
118,2425,1429,1489,1957,lean_forward,21,Male,65kg
119,2383,1090,1362,1872,lean_forward,21,Male,65kg
120,2324,1110,1331,1827,lean_forward,21,Male,65kg
121,2287,1099,1307,1797,lean_forward,21,Male,65kg
122,2253,1095,1333,1793,lean_forward,21,Male,65kg
123,2294,1103,1363,1828,lean_forward,21,Male,65kg
124,2293,1093,1329,1811,lean_forward,21,Male,65kg
125,2273,1061,1343,1808,lean_forward,21,Male,65kg
126,2202,1227,1277,1739,lean_forward,21,Male,65kg
127,2176,1202,1274,1725,lean_forward,21,Male,65kg
128,2212,1232,1289,1750,lean_forward,21,Male,65kg
129,2323,1402,1515,1919,lean_forward,21,Male,65kg
130,2435,1844,1834,2134,lean_forward,21,Male,65kg
131,2426,1623,1686,2056,lean_forward,21,Male,65kg
132,2265,1927,1706,1985,lean_forward,21,Male,65kg
133,2192,1839,1765,1978,lean_forward,21,Male,65kg
134,2190,1906,1707,1948,lean_forward,21,Male,65kg
135,2192,1741,1763,1977,lean_forward,21,Male,65kg
136,2158,1702,1715,1936,lean_forward,21,Male,65kg
137,2176,1757,1727,1951,lean_forward,21,Male,65kg
138,2192,1753,1712,1952,lean_forward,21,Male,65kg
139,2160,1717,1702,1931,lean_forward,21,Male,65kg
140,2211,1706,1489,1850,lean_forward,21,Male,65kg
141,2198,1830,1677,1937,lean_forward,21,Male,65kg
142,2145,1335,1614,1879,lean_forward,21,Male,65kg
143,2117,1264,1618,1867,lean_forward,21,Male,65kg
144,2141,1267,1657,1899,lean_forward,21,Male,65kg
145,2189,2087,1414,1801,lean_forward,21,Male,65kg
146,2192,1918,1364,1778,lean_forward,21,Male,65kg
147,2181,1890,1450,1815,lean_forward,21,Male,65kg
148,2209,1392,1360,1784,lean_forward,21,Male,65kg
149,2187,1352,1391,1789,lean_forward,21,Male,65kg
150,2224,1363,1415,1819,lean_forward,21,Male,65kg
151,2213,1379,1424,1818,lean_forward,21,Male,65kg
152,2224,1393,1415,1819,lean_forward,21,Male,65kg
153,2240,1399,1433,1836,lean_forward,21,Male,65kg
154,2234,1402,1414,1824,lean_forward,21,Male,65kg
155,2259,1401,1438,1848,lean_forward,21,Male,65kg
156,2237,1383,1465,1851,lean_forward,21,Male,65kg
157,2256,1409,1457,1856,lean_forward,21,Male,65kg
158,2256,1394,1443,1849,lean_forward,21,Male,65kg
159,2239,1394,1456,1847,lean_forward,21,Male,65kg
160,2320,2126,1659,1989,lean_forward,21,Male,65kg
161,2355,2184,1877,2116,lean_forward,21,Male,65kg
162,2369,2195,1919,2144,lean_forward,21,Male,65kg
163,2371,1821,1968,2169,lean_forward,21,Male,65kg
164,2413,1923,1919,2166,lean_forward,21,Male,65kg
165,2415,2033,1967,2191,lean_forward,21,Male,65kg
166,2382,2055,1890,2136,lean_forward,21,Male,65kg
167,2285,1171,1691,1988,lean_forward,21,Male,65kg
168,2255,1168,1712,1983,lean_forward,21,Male,65kg
169,2239,1154,1666,1952,lean_forward,21,Male,65kg
170,2179,1151,1671,1925,lean_forward,21,Male,65kg
171,2167,1179,1673,1920,lean_forward,21,Male,65kg
172,2147,1165,1649,1898,lean_forward,21,Male,65kg
173,2154,1183,1677,1915,lean_forward,21,Male,65kg
174,2174,1243,1667,1920,lean_forward,21,Male,65kg
175,2155,1246,1701,1928,lean_forward,21,Male,65kg
176,2128,1731,1718,1923,lean_forward,21,Male,65kg
177,2195,1328,1648,1921,lean_forward,21,Male,65kg
178,2192,1287,1649,1920,lean_forward,21,Male,65kg
179,2238,1482,1412,1825,lean_forward,21,Male,65kg
180,2269,1351,1584,1926,lean_forward,21,Male,65kg
181,2274,1391,1598,1936,lean_forward,21,Male,65kg
182,2268,1359,1629,1948,lean_forward,21,Male,65kg
183,2323,1417,1584,1953,lean_forward,21,Male,65kg
184,2316,1391,1626,1971,lean_forward,21,Male,65kg
185,2325,1296,1563,1944,lean_forward,21,Male,65kg
186,2339,1381,1618,1978,lean_forward,21,Male,65kg
187,2323,1291,1671,1997,lean_forward,21,Male,65kg
188,2330,1326,1742,2036,lean_forward,21,Male,65kg
189,2327,1329,1734,2030,lean_forward,21,Male,65kg
190,2351,1331,1759,2055,lean_forward,21,Male,65kg
191,2326,1326,1749,2037,lean_forward,21,Male,65kg
192,2329,1301,1765,2047,lean_forward,21,Male,65kg
193,2349,1329,1782,2065,lean_forward,21,Male,65kg
194,2332,1326,1769,2050,lean_forward,21,Male,65kg
195,2351,1351,1757,2054,lean_forward,21,Male,65kg
196,2352,1357,1759,2055,lean_forward,21,Male,65kg
197,2365,1331,1750,2057,lean_forward,21,Male,65kg
198,2365,1342,1759,2062,lean_forward,21,Male,65kg
199,2355,1345,1747,2051,lean_forward,21,Male,65kg
200,2341,1360,1726,2033,lean_forward,21,Male,65kg
201,2347,1383,1680,2013,lean_backward,21,Male,65kg
202,2391,2113,1922,2156,lean_backward,21,Male,65kg
203,2004,891,1904,1954,lean_backward,21,Male,65kg
204,1744,0,1883,1813,lean_backward,21,Male,65kg
205,1459,195,1915,1687,lean_backward,21,Male,65kg
